Field,ID,Type (Type),default,en-us,ru-ru
Description,2,Text,,"Your feedback is welcome. Password manager. It's based on KeePass project. Supports KeePass 2.x database format. 
It supports:
- Bank cards!
- History for entries;
- Password & Key file to protect your database;
- Searching
- Custom fields
- Recycle Bin
- More features are coming. Leave your feedback.
Password database is encrypted and can be shared among different devices and platforms.","Ваши отзывы приветствуются. Менеджер паролей. Основан на проекте с открытым исходным кодом KeePass. Поддерживает KeePass 2.x формат базы данных. 
IT-поддержка:
- Платежные карты!
- История записей;
- Пароль и ключевой файл, чтобы защитить вашу базу данных;
- Испытующий
- Настраиваемых поля
- мусорная корзина
- Оставьте свой отзыв.
База данных паролей зашифрована и может совместно использоваться различными устройствами и платформами."
ReleaseNotes,3,Text,,"2.13:
- Improved Dark theme support.
- Bug fixes & minor improvements.

2.12:
- Added an FTP files provider.
- Updated the user interface design.

2.11:
- Fixed a crash on sharing a whole group as XML.
- Fixed a crash on deleting an item when searching.
- Fixed bug & improved user interface on setting passwords.

2.10:
- Fixed a crash on removing Recycle Bin.
- Fixed a crash for databases with custom icons.
- Added a feature to send an entry to the notifications to be able to copy the entry's data (username & password) to the clipboard right from the notifications.

2.9:
- Added Open in another app button for kdbx files.
- Added OneDrive files provider.
- Fixed Icon Pack #1.

2.8:
- Added kdbx file sharing.
- Added exporting one entity without reentering credentials.
- Added clipboard cleaning timeout.

2.7:
- Sharing as XML & simple text has been added.

2.6:
- Login page design has been updated.

2.5.0.0:
- Error message on opening kdbx file fixed. It shows the correct message now when you try to open a newer version of kdbx file.

2.4.0.0:
- Clearing searching field on navigating back for Android & iOS versions.
- Icon pack #1 fixed.
- Landing page has been added.
- Bug with error on deleting an Entry from EntryPage fixed.","2.13:
- Улучшена поддержка темной темы.
- Исправления ошибок и незначительные улучшения.

2.12:
- Добавлен поставщик файлов FTP.
- Обновлён дизайн пользовательского интерфейса.

2.11:
- Исправлено падение приложения при выборе поделиться как XML для группы.
- Исправлено падение приложения при удалении элемента при поиске.
- Исправлена ошибка и улучшен пользовательский интерфейс при установке паролей.

2.10:
- Исправлена ошибка при удалении корзины.
- Исправлен сбой для баз данных с пользовательскими иконками.
- Добавлена функция отправки записи в уведомления, чтобы иметь возможность копировать данные записи (имя пользователя и пароль) в буфер обмена прямо из уведомлений.

2.9:
- Добавлена кнопка Открыть в другом приложении для файлов kdbx.
- Добавлен поставщик файлов OneDrive.
- Исправлен Набор иконок #1.

2.8:
- Добавлен общий доступ к файлам kdbx.
- Добавлен экспорт одной записи без повторного ввода учетных данных.
- Добавлен тайм-аут очистки буфера обмена.

2.7:
- Добавлен экспорт в формате XML и простой текст.

2.6:
- Обновлена страница входа.

2.5.0.0:
- Исправлено сообщение об ошибке при открытии файла kdbx. Теперь при попытке открыть более новую версию файла kdbx отображается правильное сообщение.

2.4.0.0:
- Очистка поля поиска при навигации назад для версий Android и iOS.
- Исправлен набор иконок №1.
- Добавлена начальная страница.
- Исправлена ошибка при удалении записи со страницы записи."
Title,4,Text,,pt.KeePass,pt.KeePass
ShortTitle,5,Text,,,
SortTitle,6,Text,,,
VoiceTitle,7,Text,,,
ShortDescription,8,Text,,,
DevStudio,9,Text,,,
CopyrightTrademarkInformation,12,Text,,Panteam, Пантим
AdditionalLicenseTerms,13,Text,,,
